time	V(vin)	V(vout)
1.077382113818236e-002	2.184524e+001	2.029425e+000
1.078382113818236e-002	2.184324e+001	2.029423e+000
1.079382113818236e-002	2.184124e+001	2.029422e+000
1.080382113818235e-002	2.183924e+001	2.029420e+000
1.081382113818235e-002	2.183724e+001	2.029418e+000
1.082382113818235e-002	2.183524e+001	2.029417e+000
1.083382113818235e-002	2.183324e+001	2.029415e+000
1.084382113818235e-002	2.183124e+001	2.029413e+000
1.085382113818235e-002	2.182924e+001	2.029412e+000
1.086382113818235e-002	2.182724e+001	2.029410e+000
1.087382113818235e-002	2.182524e+001	2.029408e+000
1.088382113818235e-002	2.182324e+001	2.029407e+000
1.089382113818235e-002	2.182124e+001	2.029405e+000
1.090382113818235e-002	2.181923e+001	2.029403e+000
1.091382113818235e-002	2.181724e+001	2.029402e+000
1.092382113818235e-002	2.181524e+001	2.029400e+000
1.093382113818235e-002	2.181324e+001	2.029398e+000
1.094382113818235e-002	2.181124e+001	2.029397e+000
1.095382113818235e-002	2.180924e+001	2.029395e+000
1.096382113818235e-002	2.180724e+001	2.029393e+000
1.097382113818235e-002	2.180523e+001	2.029392e+000
1.098382113818235e-002	2.180324e+001	2.029390e+000
1.099382113818235e-002	2.180124e+001	2.029388e+000
1.100382113818235e-002	2.179924e+001	2.029387e+000
1.101382113818235e-002	2.179724e+001	2.029385e+000
1.102382113818235e-002	2.179524e+001	2.029383e+000
1.103382113818235e-002	2.179324e+001	2.029382e+000
1.104382113818235e-002	2.179123e+001	2.029380e+000
1.105382113818234e-002	2.178924e+001	2.029378e+000
1.106382113818234e-002	2.178724e+001	2.029377e+000
1.107382113818234e-002	2.178524e+001	2.029375e+000
1.108382113818234e-002	2.178324e+001	2.029373e+000
1.109382113818234e-002	2.178124e+001	2.029372e+000
1.110382113818234e-002	2.177924e+001	2.029370e+000
1.111382113818234e-002	2.177724e+001	2.029368e+000
1.112382113818234e-002	2.177524e+001	2.029366e+000
1.113382113818234e-002	2.177324e+001	2.029365e+000
1.114382113818234e-002	2.177124e+001	2.029363e+000
1.115382113818234e-002	2.176924e+001	2.029361e+000
1.116382113818234e-002	2.176724e+001	2.029360e+000
1.117382113818234e-002	2.176524e+001	2.029358e+000
1.118382113818234e-002	2.176324e+001	2.029356e+000
1.119382113818234e-002	2.176124e+001	2.029355e+000
1.120382113818234e-002	2.175924e+001	2.029353e+000
1.121382113818234e-002	2.175724e+001	2.029351e+000
1.122382113818234e-002	2.175524e+001	2.029350e+000
1.123382113818234e-002	2.175323e+001	2.029348e+000
1.124382113818234e-002	2.175124e+001	2.029346e+000
1.125382113818234e-002	2.174924e+001	2.029345e+000
1.126382113818234e-002	2.174724e+001	2.029343e+000
1.127382113818234e-002	2.174524e+001	2.029341e+000
1.128382113818234e-002	2.174324e+001	2.029340e+000
1.129382113818233e-002	2.174124e+001	2.029338e+000
1.130382113818233e-002	2.173923e+001	2.029336e+000
1.131382113818233e-002	2.173724e+001	2.029335e+000
1.132382113818233e-002	2.173524e+001	2.029333e+000
1.133382113818233e-002	2.173324e+001	2.029331e+000
1.134382113818233e-002	2.173124e+001	2.029329e+000
1.135382113818233e-002	2.172924e+001	2.029328e+000
1.136382113818233e-002	2.172724e+001	2.029326e+000
1.137382113818233e-002	2.172523e+001	2.029325e+000
1.138382113818233e-002	2.172324e+001	2.029323e+000
1.139382113818233e-002	2.172124e+001	2.029321e+000
1.140382113818233e-002	2.171924e+001	2.029319e+000
1.141382113818233e-002	2.171724e+001	2.029318e+000
1.142382113818233e-002	2.171524e+001	2.029316e+000
1.143382113818233e-002	2.171324e+001	2.029315e+000
1.144382113818233e-002	2.171124e+001	2.029313e+000
1.145382113818233e-002	2.170924e+001	2.029311e+000
1.146382113818233e-002	2.170724e+001	2.029309e+000
1.147382113818233e-002	2.170524e+001	2.029308e+000
1.148382113818233e-002	2.170324e+001	2.029306e+000
1.149382113818233e-002	2.170124e+001	2.029305e+000
1.150382113818233e-002	2.169924e+001	2.029303e+000
1.151382113818233e-002	2.169724e+001	2.029301e+000
1.152382113818233e-002	2.169524e+001	2.029299e+000
1.153382113818233e-002	2.169324e+001	2.029298e+000
1.154382113818232e-002	2.169124e+001	2.029296e+000
1.155382113818232e-002	2.168924e+001	2.029294e+000
1.156382113818232e-002	2.168723e+001	2.029293e+000
1.157382113818232e-002	2.168524e+001	2.029291e+000
1.158382113818232e-002	2.168324e+001	2.029289e+000
1.159382113818232e-002	2.168124e+001	2.029287e+000
1.160382113818232e-002	2.167924e+001	2.029286e+000
1.161382113818232e-002	2.167724e+001	2.029284e+000
1.162382113818232e-002	2.167524e+001	2.029283e+000
1.163382113818232e-002	2.167323e+001	2.029281e+000
1.164382113818232e-002	2.167124e+001	2.029279e+000
1.165382113818232e-002	2.166924e+001	2.029277e+000
1.166382113818232e-002	2.166724e+001	2.029276e+000
1.167382113818232e-002	2.166524e+001	2.029274e+000
1.168382113818232e-002	2.166324e+001	2.029273e+000
1.169382113818232e-002	2.166124e+001	2.029271e+000
1.170382113818232e-002	2.165924e+001	2.029269e+000
1.171382113818232e-002	2.165724e+001	2.029267e+000
1.172382113818232e-002	2.165524e+001	2.029266e+000
1.173382113818232e-002	2.165324e+001	2.029264e+000
1.174382113818232e-002	2.165124e+001	2.029262e+000
1.175382113818232e-002	2.164924e+001	2.029261e+000
1.176382113818232e-002	2.164724e+001	2.029259e+000
1.177382113818232e-002	2.164524e+001	2.029257e+000
1.178382113818231e-002	2.164324e+001	2.029256e+000
1.180382113818231e-002	2.163924e+001	2.029252e+000
